timestamp_utc,phase,window_index,old_mbr_kbps,new_mbr_kbps,reason,tool_returncode
2026-05-11T20:07:44.863350Z,B,1,"200000,200000,150000,150000,100000","200000,200000,150000,150000,70000","real app QER policing in bronze burst, only S5 may be reduced",0
2026-05-11T20:08:30.340304Z,B,2,"200000,200000,150000,150000,70000","200000,200000,150000,150000,60000","real app QER policing in bronze burst, only S5 may be reduced",0
2026-05-11T20:09:15.472322Z,B,3,"200000,200000,150000,150000,60000","200000,200000,150000,150000,70000","real app QER policing in bronze burst, only S5 may be reduced",0
2026-05-11T20:10:00.847472Z,B,4,"200000,200000,150000,150000,70000","200000,200000,150000,150000,60000","real app QER policing in bronze burst, only S5 may be reduced",0
2026-05-11T20:10:46.220237Z,B,5,"200000,200000,150000,150000,60000","200000,200000,150000,150000,70000","real app QER policing in bronze burst, only S5 may be reduced",0
2026-05-11T20:11:31.400025Z,B,6,"200000,200000,150000,150000,70000","200000,200000,150000,150000,60000","real app QER policing in bronze burst, only S5 may be reduced",0
2026-05-11T20:12:17.274189Z,C,1,"200000,200000,150000,150000,60000","200000,200000,110000,110000,100000","real app QER policing in silver flash crowd, preserve Gold and adjust Silver",0
2026-05-11T20:13:02.908596Z,C,2,"200000,200000,110000,110000,100000","200000,200000,120000,120000,100000","real app QER policing in silver flash crowd, preserve Gold and adjust Silver",0
2026-05-11T20:13:48.442757Z,C,3,"200000,200000,120000,120000,100000","200000,200000,110000,110000,100000","real app QER policing in silver flash crowd, preserve Gold and adjust Silver",0
2026-05-11T20:14:34.252675Z,C,4,"200000,200000,110000,110000,100000","200000,200000,120000,120000,100000","real app QER policing in silver flash crowd, preserve Gold and adjust Silver",0
2026-05-11T20:15:20.212716Z,C,5,"200000,200000,120000,120000,100000","200000,200000,110000,110000,100000","real app QER policing in silver flash crowd, preserve Gold and adjust Silver",0
2026-05-11T20:16:05.477859Z,C,6,"200000,200000,110000,110000,100000","200000,200000,120000,120000,100000","real app QER policing in silver flash crowd, preserve Gold and adjust Silver",0
2026-05-11T20:19:49.697254Z,D,5,"200000,200000,120000,120000,100000","200000,200000,150000,150000,100000","recovery phase, prefer restoring initial vector but adjusting S5 and S4",0
